Olá;saudacao
Bom dia;saudacao
Boa tarde;saudacao
Boa noite;saudacao
Oi;saudacao
E aí?;saudacao
Tudo bem?;saudacao
Como vai?;saudacao
Olá, tudo bem?;saudacao
Boas;saudacao
E aí, tchê?;saudacao
Ôxe, tudo bom?;saudacao
E aí, mano?;saudacao
Fala, parça!;saudacao
Oiê!;saudacao
Salve!;saudacao
E aí, brother?;saudacao
Fala, cumpadi!;saudacao
Beleza pura?;saudacao
Massa!;saudacao
:);saudacao
;);saudacao
:D;saudacao
(^.^);saudacao
<3;saudacao
Alô;saudacao
Bom te ver por aqui;saudacao
Que surpresa boa!;saudacao
Olá, como posso ajudar?;saudacao
Bom dia, em que posso ser útil?;saudacao
Boa tarde, como está sendo seu dia?;saudacao
Boa noite, espero que tenha tido um bom dia;saudacao
E aí, beleza?;saudacao
Tudo certo?;saudacao
Tudo joia?;saudacao
De boa?;saudacao
Na paz?;saudacao
Tranquilo?;saudacao
Suave na nave?;saudacao
Qual é a boa?;saudacao
O que rola?;saudacao
Que legal te ver!;saudacao
Bom te ver de novo;saudacao
E aí, gente?;saudacao
Olá, pessoal!;saudacao
Bom dia a todos;saudacao
Boa tarde a todos;saudacao
Boa noite a todos;saudacao
Oi, pessoal!;saudacao
E aí, turma?;saudacao
Tudo bem com vocês?;saudacao
Como estão todos?;saudacao
Olá, como está a família?;saudacao
Bom dia, tudo bem com você e sua família?;saudacao
Boa tarde, tudo bem por aí?;saudacao
Boa noite, espero que todos estejam bem;saudacao
Oi, tudo bem por aí?;saudacao
E aí, tudo tranquilo com a galera?;saudacao
Tudo joia com a galera?;saudacao
De boa com a galera?;saudacao
Na paz com a galera?;saudacao
Tranquilo com a galera?;saudacao
Suave na nave com a galera?;saudacao
Qual é a boa com a galera?;saudacao
O que rola com a galera?;saudacao
Que legal ver vocês por aqui!;saudacao
Bom ver vocês de novo por aqui;saudacao
E aí, como foi o dia?;saudacao
Olá, como foi a semana?;saudacao
Bom dia, como foi o fim de semana?;saudacao
Boa tarde, tudo bem com o trabalho?;saudacao
Boa noite, descansou bastante?;saudacao
Oi, tudo bem com os estudos?;saudacao
E aí, tudo certo com o seu time?;saudacao
Tudo joia com o seu projeto?;saudacao
De boa com a sua família?;saudacao
Na paz com os seus amigos?;saudacao
Tranquilo com a sua viagem?;saudacao
Suave na nave com o seu carro novo?;saudacao
Qual é a boa para hoje?;saudacao
O que rola de bom por aí?;saudacao
Que legal te ver de férias!;saudacao
Bom te ver curtindo a vida;saudacao
E aí, preparado para o feriado?;saudacao
Olá, ansioso para o Natal?;saudacao
Bom dia, tudo pronto para o Ano Novo?;saudacao
Boa tarde, como estão os preparativos para a festa?;saudacao
Boa noite, já pensou no seu presente?;saudacao
Oi, já comprou os ingressos para o show?;saudacao
E aí, vai viajar para onde nas férias?;saudacao
Tudo certo com a mudança de casa?;saudacao
Tudo joia com o novo emprego?;saudacao
De boa com o seu novo amor?;saudacao
Na paz com a sua nova vida?;saudacao
Tranquilo com os seus novos desafios?;saudacao
Suave na nave com os seus novos sonhos?;saudacao
Qual é a boa para o futuro?;saudacao
O que rola de novo por aí?;saudacao
Que legal te ver realizado!;saudacao
Bom te ver feliz;saudacao
E aí, tudo bem com a saúde?;saudacao
Olá, como está se cuidando?;saudacao
Bom dia, fez exercícios hoje?;saudacao
Boa tarde, está se alimentando bem?;saudacao
Boa noite, descansou o suficiente?;saudacao
Oi, está tudo bem com a sua família?;saudacao
E aí, como está o seu humor hoje?;saudacao
Tudo joia com a sua autoestima?;saudacao
De boa com a sua ansiedade?;saudacao
Na paz com os seus medos?;saudacao
Tranquilo com os seus problemas?;saudacao
Suave na nave com a sua positividade?;saudacao
Qual é a boa para ter uma vida mais leve?;saudacao
O que rola de bom para ser feliz?;saudacao
Que legal te ver em paz!;saudacao
Bom te ver zen;saudacao
E aí, tudo bem com a sua fé?;saudacao
Olá, como está sua conexão com o divino?;saudacao
Bom dia, está meditando regularmente?;saudacao
Boa tarde, está praticando a gratidão?;saudacao
Boa noite, está cultivando o amor ao próximo?;saudacao
Oi, está seguindo os seus princípios?;saudacao
E aí, como está sua busca por sabedoria?;saudacao
Tudo joia com o seu desenvolvimento espiritual?;saudacao
De boa com a sua missão de vida?;saudacao
Na paz com o seu propósito?;saudacao
Tranquilo com a sua jornada?;saudacao
Suave na nave com a sua alma?;saudacao
Qual é a boa para encontrar a paz interior?;saudacao
O que rola de bom para ter uma vida com sentido?;saudacao
Que legal te ver iluminado!;saudacao
Bom te ver radiante;saudacao
E aí, tudo bem com a sua energia?;saudacao
Olá, como está se sentindo hoje?;saudacao
Bom dia, está vibrando alto?;saudacao
Boa tarde, está emanando positividade?;saudacao
Boa noite, está atraindo coisas boas?;saudacao
Oi, está se conectando com a sua intuição?;saudacao
E aí, como está sua força interior?;saudacao
Tudo joia com a sua confiança?;saudacao
De boa com a sua coragem?;saudacao
Na paz com os seus desafios?;saudacao
Tranquilo com as suas escolhas?;saudacao
Suave na nave com a sua determinação?;saudacao
Qual é a boa para manifestar os seus sonhos?;saudacao
O que rola de bom para realizar os seus objetivos?;saudacao
Que legal te ver empoderado!;saudacao
Bom te ver forte;saudacao
E aí, tudo bem com a sua mente?;saudacao
Olá, como está pensando hoje?;saudacao
Bom dia, está cultivando pensamentos positivos?;saudacao
Boa tarde, está controlando o seu estresse?;saudacao
Boa noite, está praticando o autocuidado?;saudacao
Oi, está se libertando de crenças limitantes?;saudacao
E aí, como está sua capacidade de concentração?;saudacao
Tudo joia com a sua memória?;saudacao
De boa com a sua criatividade?;saudacao
Na paz com a sua inteligência emocional?;saudacao
Tranquilo com a sua comunicação?;saudacao
Suave na nave com o seu aprendizado?;saudacao
Qual é a boa para expandir a sua consciência?;saudacao
O que rola de bom para ter uma mente brilhante?;saudacao
Que legal te ver inteligente!;saudacao
Bom te ver sábio;saudacao
E aí, tudo bem com o seu corpo?;saudacao
Olá, como está se movimentando hoje?;saudacao
Bom dia, está se exercitando regularmente?;saudacao
Boa tarde, está se alongando?;saudacao
Boa noite, está cuidando da sua postura?;saudacao
Oi, está se alimentando de forma saudável?;saudacao
E aí, como está sua disposição física?;saudacao
Tudo joia com a sua energia?;saudacao
De boa com o seu sono?;saudacao
Na paz com a sua saúde?;saudacao
Tranquilo com o seu bem-estar?;saudacao
Suave na nave com a sua vitalidade?;saudacao
